"cell_line","treatment","design","time","concentration","cell_count__time0","dead_count__time0","cell_count","dead_count","cell_count__ctrl","dead_count__ctrl"
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,6979,495,5425.3,495.3
"cell_line_TT","drug_ZZ",1,3,0.1,1197.70779220779,296.253246753247,1978,562,5425.3,495.3
"cell_line_TT","drug_J",1,3,10,1197.70779220779,296.253246753247,3844,407,5425.3,495.3
"cell_line_TT","drug_J",1,3,3.1623,1197.70779220779,296.253246753247,4968,484,5425.3,495.3
"cell_line_TT","drug_J",1,3,1,1197.70779220779,296.253246753247,5894,454,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.31623,1197.70779220779,296.253246753247,5255,435,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.1,1197.70779220779,296.253246753247,6088,520,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.031623,1197.70779220779,296.253246753247,5801,487,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.01,1197.70779220779,296.253246753247,5481,493,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.0031623,1197.70779220779,296.253246753247,5691,577,5425.3,495.3
"cell_line_TT","drug_J",1,3,0.001,1197.70779220779,296.253246753247,5631,483,5425.3,495.3
"cell_line_TT","drug_B",1,3,1,1197.70779220779,296.253246753247,523,923,5425.3,495.3
"cell_line_TT","drug_ZZ",1,3,0.1,1197.70779220779,296.253246753247,2438,498,5425.3,495.3
"cell_line_TT","drug_G",1,3,10,1197.70779220779,296.253246753247,4558,624,5425.3,495.3
"cell_line_TT","drug_G",1,3,3.1623,1197.70779220779,296.253246753247,5882,465,5425.3,495.3
"cell_line_TT","drug_G",1,3,1,1197.70779220779,296.253246753247,5848,600,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.31623,1197.70779220779,296.253246753247,6116,500,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.1,1197.70779220779,296.253246753247,5793,510,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.031623,1197.70779220779,296.253246753247,5273,526,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.01,1197.70779220779,296.253246753247,5496,536,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.0031623,1197.70779220779,296.253246753247,5222,468,5425.3,495.3
"cell_line_TT","drug_G",1,3,0.001,1197.70779220779,296.253246753247,5548,539,5425.3,495.3
"cell_line_TT","drug_B",1,3,1,1197.70779220779,296.253246753247,610,1021,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,4725,480,5425.3,495.3
"cell_line_TT","drug_Q",1,3,10,1197.70779220779,296.253246753247,588,903,5425.3,495.3
"cell_line_TT","drug_Q",1,3,3.1623,1197.70779220779,296.253246753247,805,1048,5425.3,495.3
"cell_line_TT","drug_Q",1,3,1,1197.70779220779,296.253246753247,2944,677,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.31623,1197.70779220779,296.253246753247,5425,457,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.1,1197.70779220779,296.253246753247,5207,439,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.031623,1197.70779220779,296.253246753247,5807,444,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.01,1197.70779220779,296.253246753247,4833,506,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.0031623,1197.70779220779,296.253246753247,5336,458,5425.3,495.3
"cell_line_TT","drug_Q",1,3,0.001,1197.70779220779,296.253246753247,4927,430,5425.3,495.3
"cell_line_TT","drug_SS",1,3,0.1,1197.70779220779,296.253246753247,4671,469,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,4956,474,5425.3,495.3
"cell_line_TT","drug_FF",1,3,3.1623,1197.70779220779,296.253246753247,2127,450,5425.3,495.3
"cell_line_TT","drug_FF",1,3,1,1197.70779220779,296.253246753247,2113,350,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.31623,1197.70779220779,296.253246753247,2176,351,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.1,1197.70779220779,296.253246753247,2742,376,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.031623,1197.70779220779,296.253246753247,2811,427,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.01,1197.70779220779,296.253246753247,4118,303,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.0031623,1197.70779220779,296.253246753247,5081,468,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.001,1197.70779220779,296.253246753247,5178,440,5425.3,495.3
"cell_line_TT","drug_FF",1,3,0.00031623,1197.70779220779,296.253246753247,4743,481,5425.3,495.3
"cell_line_TT","drug_M",1,3,0.1,1197.70779220779,296.253246753247,4835,410,5425.3,495.3
"cell_line_TT","drug_QQ",1,3,1,1197.70779220779,296.253246753247,199,1360,5425.3,495.3
"cell_line_TT","drug_E",1,3,10,1197.70779220779,296.253246753247,6991,491,5425.3,495.3
"cell_line_TT","drug_E",1,3,3.1623,1197.70779220779,296.253246753247,6419,462,5425.3,495.3
"cell_line_TT","drug_E",1,3,1,1197.70779220779,296.253246753247,5706,454,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.31623,1197.70779220779,296.253246753247,5715,540,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.1,1197.70779220779,296.253246753247,6179,517,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.031623,1197.70779220779,296.253246753247,5588,525,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.01,1197.70779220779,296.253246753247,5171,455,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.0031623,1197.70779220779,296.253246753247,5141,539,5425.3,495.3
"cell_line_TT","drug_E",1,3,0.001,1197.70779220779,296.253246753247,5313,610,5425.3,495.3
"cell_line_TT","drug_SS",1,3,0.031623,1197.70779220779,296.253246753247,6205,538,5425.3,495.3
"cell_line_TT","drug_QQ",1,3,1,1197.70779220779,296.253246753247,202,1465,5425.3,495.3
"cell_line_TT","drug_VV",1,3,3.1623,1197.70779220779,296.253246753247,945,1041,5425.3,495.3
"cell_line_TT","drug_VV",1,3,1,1197.70779220779,296.253246753247,3237,578,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.31623,1197.70779220779,296.253246753247,3332,661,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.1,1197.70779220779,296.253246753247,4649,588,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.031623,1197.70779220779,296.253246753247,4800,557,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.01,1197.70779220779,296.253246753247,4922,652,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.0031623,1197.70779220779,296.253246753247,5822,532,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.001,1197.70779220779,296.253246753247,6211,555,5425.3,495.3
"cell_line_TT","drug_VV",1,3,0.00031623,1197.70779220779,296.253246753247,5977,574,5425.3,495.3
"cell_line_TT","drug_M",1,3,0.031623,1197.70779220779,296.253246753247,3734,412,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,5453,506,5425.3,495.3
"cell_line_TT","drug_PP",1,3,10,1197.70779220779,296.253246753247,1483,788,5425.3,495.3
"cell_line_TT","drug_PP",1,3,3.1623,1197.70779220779,296.253246753247,5098,580,5425.3,495.3
"cell_line_TT","drug_PP",1,3,1,1197.70779220779,296.253246753247,5970,666,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.31623,1197.70779220779,296.253246753247,5300,607,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.1,1197.70779220779,296.253246753247,5875,511,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.031623,1197.70779220779,296.253246753247,5006,453,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.01,1197.70779220779,296.253246753247,5497,500,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.0031623,1197.70779220779,296.253246753247,6223,419,5425.3,495.3
"cell_line_TT","drug_PP",1,3,0.001,1197.70779220779,296.253246753247,5656,480,5425.3,495.3
